#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
304,06/07/2022 09:30:30,22.69,74035.20,,,,
305,06/07/2022 09:30:40,23.08,73195.52,,,,
306,06/07/2022 09:30:50,23.42,73605.12,,,,
307,06/07/2022 09:31:00,23.81,73134.08,,,,
308,06/07/2022 09:31:10,24.06,73195.52,,,,
309,06/07/2022 09:31:20,24.32,73195.52,,,,
310,06/07/2022 09:31:30,24.58,73134.08,,,,
311,06/07/2022 09:31:40,24.84,73277.44,,,,
312,06/07/2022 09:31:50,25.05,73543.68,,,,
313,06/07/2022 09:32:00,25.22,73318.40,,,,
314,06/07/2022 09:32:10,25.48,74321.92,,,,
315,06/07/2022 09:32:20,25.65,74874.88,,,,
316,06/07/2022 09:32:30,25.87,75120.64,,,,
317,06/07/2022 09:32:40,25.99,74711.04,,,,
318,06/07/2022 09:32:50,26.21,75141.12,,,,
319,06/07/2022 09:33:00,26.34,75407.36,,,,
320,06/07/2022 09:33:10,26.51,75632.64,,,,
321,06/07/2022 09:33:20,26.68,75571.20,,,,
322,06/07/2022 09:33:30,26.81,76062.72,,,,
323,06/07/2022 09:33:40,26.98,75653.12,,,,
324,06/07/2022 09:33:50,27.15,75837.44,,,,
325,06/07/2022 09:34:00,27.37,76185.60,,,,
326,06/07/2022 09:34:10,27.54,75878.40,,,,
327,06/07/2022 09:34:20,27.67,76062.72,,,,
328,06/07/2022 09:34:30,27.84,75755.52,,,,
329,06/07/2022 09:34:40,28.01,75837.44,,,,
330,06/07/2022 09:34:50,28.18,76288.00,,,,
331,06/07/2022 09:35:00,28.35,76718.08,,,,
332,06/07/2022 09:35:10,28.53,76472.32,,,,
333,06/07/2022 09:35:20,28.65,76636.16,,,,
334,06/07/2022 09:35:30,28.83,75837.44,,,,
335,06/07/2022 09:35:40,28.91,73809.92,,,,
336,06/07/2022 09:35:50,29.00,73605.12,,,,
337,06/07/2022 09:36:00,29.08,75755.52,,,,
338,06/07/2022 09:36:10,29.17,76042.24,,,,
339,06/07/2022 09:36:20,29.30,77107.20,,,,
340,06/07/2022 09:36:30,29.43,76718.08,,,,
341,06/07/2022 09:36:40,29.51,76513.28,,,,
342,06/07/2022 09:36:50,29.64,76615.68,,,,
343,06/07/2022 09:37:00,29.68,76820.48,,,,
344,06/07/2022 09:37:10,29.81,76759.04,,,,
345,06/07/2022 09:37:20,29.86,76636.16,,,,
346,06/07/2022 09:37:30,29.86,76697.60,,,,
347,06/07/2022 09:37:40,29.90,76615.68,,,,
348,06/07/2022 09:37:50,29.94,76718.08,,,,
349,06/07/2022 09:38:00,29.98,76001.28,,,,
350,06/07/2022 09:38:10,29.98,75223.04,,,,
351,06/07/2022 09:38:20,30.07,75202.56,,,,
352,06/07/2022 09:38:30,30.11,75141.12,,,,
353,06/07/2022 09:38:40,30.20,77189.12,,,,
354,06/07/2022 09:38:50,30.33,77434.88,,,,
355,06/07/2022 09:39:00,30.41,77885.44,,,,
356,06/07/2022 09:39:10,30.50,78110.72,,,,
357,06/07/2022 09:39:20,30.59,78110.72,,,,
358,06/07/2022 09:39:30,30.67,78213.12,,,,
359,06/07/2022 09:39:40,30.71,77926.40,,,,
360,06/07/2022 09:39:50,30.80,77864.96,,,,
361,06/07/2022 09:40:00,30.80,77987.84,,,,
362,06/07/2022 09:40:10,30.84,78008.32,,,,
363,06/07/2022 09:40:20,30.89,77987.84,,,,
364,06/07/2022 09:40:30,30.93,78028.80,,,,
365,06/07/2022 09:40:40,30.97,78233.60,,,,
366,06/07/2022 09:40:50,30.97,77783.04,,,,
367,06/07/2022 09:41:00,31.06,77926.40,,,,
368,06/07/2022 09:41:10,31.10,78151.68,,,,
369,06/07/2022 09:41:20,31.14,78069.76,,,,
370,06/07/2022 09:41:30,31.23,77987.84,,,,
371,06/07/2022 09:41:40,31.23,78213.12,,,,
372,06/07/2022 09:41:50,31.36,78131.20,,,,
373,06/07/2022 09:42:00,31.44,78213.12,,,,
374,06/07/2022 09:42:10,31.40,78336.00,,,,
375,06/07/2022 09:42:20,31.40,78663.68,,,,
376,06/07/2022 09:42:30,31.40,79052.80,,,,
377,06/07/2022 09:42:40,31.44,79134.72,,,,
378,06/07/2022 09:42:50,31.44,79134.72,,,,
379,06/07/2022 09:43:00,31.44,79237.12,,,,
380,06/07/2022 09:43:10,31.44,79380.48,,,,
381,06/07/2022 09:43:20,31.49,79523.84,,,,
382,06/07/2022 09:43:30,31.49,79646.72,,,,
383,06/07/2022 09:43:40,31.49,79769.60,,,,
384,06/07/2022 09:43:50,31.53,78131.20,,,,
385,06/07/2022 09:44:00,31.53,78131.20,,,,
386,06/07/2022 09:44:10,31.61,77332.48,,,,
387,06/07/2022 09:44:20,31.66,75182.08,,,,
388,06/07/2022 09:44:30,31.70,77373.44,,,,
389,06/07/2022 09:44:40,31.74,73400.32,,,,
390,06/07/2022 09:44:50,31.70,70123.52,,,,
391,06/07/2022 09:45:00,31.70,73441.28,,,,
392,06/07/2022 09:45:10,31.66,74321.92,,,,
393,06/07/2022 09:45:20,31.66,74403.84,,,,
394,06/07/2022 09:45:30,31.53,73502.72,,,,
395,06/07/2022 09:45:40,31.53,77414.40,,,,
396,06/07/2022 09:45:50,31.49,76800.00,,,,
397,06/07/2022 09:46:00,31.49,75816.96,,,,
398,06/07/2022 09:46:10,31.53,76984.32,,,,
399,06/07/2022 09:46:20,31.49,76840.96,,,,
400,06/07/2022 09:46:30,31.40,77107.20,,,,
401,06/07/2022 09:46:40,31.40,77639.68,,,,
402,06/07/2022 09:46:50,31.40,77025.28,,,,
403,06/07/2022 09:47:00,31.66,73441.28,,,,
404,06/07/2022 09:47:10,31.70,9635.84,,,,
405,06/07/2022 09:47:20,30.54,9879.04,,,,
